# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.03361 s. Light curve stops at 56.32961 s. Time resolution is 0.41345 s. There are 137 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_n3_b1 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.413446 0.0
DP 0.826892 171.0
DP 1.240338 612.0
DP 1.653784 950.0
DP 2.067230 1198.0
DP 2.480676 1996.0
DP 2.894122 3006.0
DP 3.307568 4123.0
DP 3.721014 4659.0
DP 4.134460 4240.0
DP 4.547906 3459.0
DP 4.961352 3509.0
DP 5.374798 3300.0
DP 5.788244 3263.0
DP 6.201690 2817.0
DP 6.615136 2194.0
DP 7.028582 1818.0
DP 7.442028 1600.0
DP 7.855474 1368.0
DP 8.268920 1000.0
DP 8.682366 655.0
DP 9.095812 282.0
DP 9.509258 190.0
DP 9.922704 103.0
DP 10.336150 34.0
DP 10.749596 10.0
DP 11.163042 0.0
DP 11.576488 0.0
DP 11.989934 0.0
DP 12.403380 0.0
DP 12.816826 0.0
DP 13.230272 0.0
DP 13.643718 0.0
DP 14.057164 0.0
DP 14.470610 0.0
DP 14.884056 0.0
DP 15.297502 0.0
DP 15.710948 0.0
DP 16.124394 0.0
DP 16.537840 0.0
DP 16.951286 0.0
DP 17.364732 0.0
DP 17.778178 0.0
DP 18.191624 0.0
DP 18.605070 0.0
DP 19.018516 0.0
DP 19.431962 0.0
DP 19.845408 0.0
DP 20.258854 0.0
DP 20.672300 0.0
DP 21.085746 0.0
DP 21.499192 0.0
DP 21.912638 0.0
DP 22.326084 0.0
DP 22.739530 0.0
DP 23.152976 0.0
DP 23.566422 0.0
DP 23.979868 0.0
DP 24.393314 0.0
DP 24.806760 0.0
DP 25.220206 0.0
DP 25.633652 0.0
DP 26.047098 0.0
DP 26.460544 0.0
DP 26.873990 0.0
DP 27.287436 0.0
DP 27.700882 0.0
DP 28.114328 0.0
DP 28.527774 0.0
DP 28.941220 0.0
DP 29.354666 0.0
DP 29.768112 0.0
DP 30.181558 0.0
DP 30.595004 0.0
DP 31.008450 0.0
DP 31.421896 0.0
DP 31.835342 0.0
DP 32.248788 0.0
DP 32.662234 0.0
DP 33.075680 0.0
DP 33.489126 0.0
DP 33.902572 0.0
DP 34.316018 0.0
DP 34.729464 13.0
DP 35.142910 0.0
DP 35.556356 10.0
DP 35.969802 26.0
DP 36.383248 0.0
DP 36.796694 62.0
DP 37.210140 78.0
DP 37.623586 36.0
DP 38.037032 1.0
DP 38.450478 74.0
DP 38.863924 68.0
DP 39.277370 118.0
DP 39.690816 175.0
DP 40.104262 297.0
DP 40.517708 412.0
DP 40.931154 490.0
DP 41.344600 605.0
DP 41.758046 775.0
DP 42.171492 815.0
DP 42.584938 932.0
DP 42.998384 934.0
DP 43.411830 929.0
DP 43.825276 842.0
DP 44.238722 861.0
DP 44.652168 771.0
DP 45.065614 794.0
DP 45.479060 664.0
DP 45.892506 573.0
DP 46.305952 487.0
DP 46.719398 445.0
DP 47.132844 311.0
DP 47.546290 298.0
DP 47.959736 313.0
DP 48.373182 250.0
DP 48.786628 129.0
DP 49.200074 224.0
DP 49.613520 109.0
DP 50.026966 137.0
DP 50.440412 86.0
DP 50.853858 80.0
DP 51.267304 85.0
DP 51.680750 91.0
DP 52.094196 74.0
DP 52.507642 0.0
DP 52.921088 0.0
DP 53.334534 12.0
DP 53.747980 0.0
DP 54.161426 0.0
DP 54.574872 0.0
DP 54.988318 0.0
DP 55.401764 22.0
DP 55.815210 0.0
DP 56.228656 1.0
EN
