# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.03361 s. Light curve stops at 56.32961 s. Time resolution is 0.41345 s. There are 137 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector n3 with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.413446 0.0
DP 0.826892 156.0
DP 1.240338 624.0
DP 1.653784 934.0
DP 2.067230 1198.0
DP 2.480676 1982.0
DP 2.894122 2983.0
DP 3.307568 4118.0
DP 3.721014 4613.0
DP 4.134460 4265.0
DP 4.547906 3490.0
DP 4.961352 3496.0
DP 5.374798 3329.0
DP 5.788244 3273.0
DP 6.201690 2793.0
DP 6.615136 2179.0
DP 7.028582 1838.0
DP 7.442028 1617.0
DP 7.855474 1397.0
DP 8.268920 1019.0
DP 8.682366 640.0
DP 9.095812 294.0
DP 9.509258 183.0
DP 9.922704 122.0
DP 10.336150 54.0
DP 10.749596 37.0
DP 11.163042 0.0
DP 11.576488 0.0
DP 11.989934 0.0
DP 12.403380 0.0
DP 12.816826 0.0
DP 13.230272 0.0
DP 13.643718 0.0
DP 14.057164 0.0
DP 14.470610 0.0
DP 14.884056 0.0
DP 15.297502 0.0
DP 15.710948 0.0
DP 16.124394 0.0
DP 16.537840 0.0
DP 16.951286 0.0
DP 17.364732 0.0
DP 17.778178 0.0
DP 18.191624 0.0
DP 18.605070 0.0
DP 19.018516 0.0
DP 19.431962 0.0
DP 19.845408 0.0
DP 20.258854 0.0
DP 20.672300 0.0
DP 21.085746 0.0
DP 21.499192 0.0
DP 21.912638 0.0
DP 22.326084 0.0
DP 22.739530 0.0
DP 23.152976 0.0
DP 23.566422 0.0
DP 23.979868 0.0
DP 24.393314 0.0
DP 24.806760 0.0
DP 25.220206 0.0
DP 25.633652 0.0
DP 26.047098 0.0
DP 26.460544 0.0
DP 26.873990 0.0
DP 27.287436 0.0
DP 27.700882 0.0
DP 28.114328 0.0
DP 28.527774 0.0
DP 28.941220 0.0
DP 29.354666 0.0
DP 29.768112 0.0
DP 30.181558 0.0
DP 30.595004 0.0
DP 31.008450 0.0
DP 31.421896 0.0
DP 31.835342 0.0
DP 32.248788 0.0
DP 32.662234 0.0
DP 33.075680 0.0
DP 33.489126 0.0
DP 33.902572 0.0
DP 34.316018 0.0
DP 34.729464 16.0
DP 35.142910 0.0
DP 35.556356 0.0
DP 35.969802 19.0
DP 36.383248 8.0
DP 36.796694 38.0
DP 37.210140 74.0
DP 37.623586 36.0
DP 38.037032 37.0
DP 38.450478 114.0
DP 38.863924 117.0
DP 39.277370 153.0
DP 39.690816 154.0
DP 40.104262 304.0
DP 40.517708 419.0
DP 40.931154 507.0
DP 41.344600 629.0
DP 41.758046 770.0
DP 42.171492 874.0
DP 42.584938 941.0
DP 42.998384 943.0
DP 43.411830 955.0
DP 43.825276 866.0
DP 44.238722 880.0
DP 44.652168 770.0
DP 45.065614 792.0
DP 45.479060 667.0
DP 45.892506 606.0
DP 46.305952 502.0
DP 46.719398 438.0
DP 47.132844 321.0
DP 47.546290 311.0
DP 47.959736 295.0
DP 48.373182 236.0
DP 48.786628 171.0
DP 49.200074 215.0
DP 49.613520 129.0
DP 50.026966 138.0
DP 50.440412 64.0
DP 50.853858 58.0
DP 51.267304 43.0
DP 51.680750 66.0
DP 52.094196 52.0
DP 52.507642 36.0
DP 52.921088 16.0
DP 53.334534 19.0
DP 53.747980 34.0
DP 54.161426 0.0
DP 54.574872 0.0
DP 54.988318 0.0
DP 55.401764 27.0
DP 55.815210 8.0
DP 56.228656 16.0
EN
