# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06496 s. Light curve stops at 0.57696 s. Time resolution is 0.00448 s. There are 130 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_n1_b0_n3_n0 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.004480 0.0
DP 0.008960 2.0
DP 0.013440 0.0
DP 0.017920 4.0
DP 0.022400 2.0
DP 0.026880 2.0
DP 0.031360 0.0
DP 0.035840 0.0
DP 0.040320 1.0
DP 0.044800 0.0
DP 0.049280 4.0
DP 0.053760 6.0
DP 0.058240 36.0
DP 0.062720 70.0
DP 0.067200 84.0
DP 0.071680 101.0
DP 0.076160 100.0
DP 0.080640 176.0
DP 0.085120 510.0
DP 0.089600 549.0
DP 0.094080 410.0
DP 0.098560 351.0
DP 0.103040 233.0
DP 0.107520 186.0
DP 0.112000 196.0
DP 0.116480 161.0
DP 0.120960 176.0
DP 0.125440 198.0
DP 0.129920 288.0
DP 0.134400 264.0
DP 0.138880 236.0
DP 0.143360 225.0
DP 0.147840 168.0
DP 0.152320 179.0
DP 0.156800 129.0
DP 0.161280 105.0
DP 0.165760 79.0
DP 0.170240 53.0
DP 0.174720 36.0
DP 0.179200 18.0
DP 0.183680 26.0
DP 0.188160 26.0
DP 0.192640 17.0
DP 0.197120 10.0
DP 0.201600 20.0
DP 0.206080 12.0
DP 0.210560 9.0
DP 0.215040 18.0
DP 0.219520 11.0
DP 0.224000 7.0
DP 0.228480 4.0
DP 0.232960 2.0
DP 0.237440 5.0
DP 0.241920 8.0
DP 0.246400 9.0
DP 0.250880 0.0
DP 0.255360 0.0
DP 0.259840 10.0
DP 0.264320 6.0
DP 0.268800 2.0
DP 0.273280 1.0
DP 0.277760 11.0
DP 0.282240 0.0
DP 0.286720 2.0
DP 0.291200 0.0
DP 0.295680 0.0
DP 0.300160 1.0
DP 0.304640 0.0
DP 0.309120 7.0
DP 0.313600 11.0
DP 0.318080 3.0
DP 0.322560 2.0
DP 0.327040 19.0
DP 0.331520 6.0
DP 0.336000 10.0
DP 0.340480 22.0
DP 0.344960 6.0
DP 0.349440 11.0
DP 0.353920 6.0
DP 0.358400 7.0
DP 0.362880 16.0
DP 0.367360 15.0
DP 0.371840 13.0
DP 0.376320 17.0
DP 0.380800 8.0
DP 0.385280 14.0
DP 0.389760 11.0
DP 0.394240 9.0
DP 0.398720 25.0
DP 0.403200 22.0
DP 0.407680 21.0
DP 0.412160 24.0
DP 0.416640 15.0
DP 0.421120 34.0
DP 0.425600 25.0
DP 0.430080 24.0
DP 0.434560 12.0
DP 0.439040 19.0
DP 0.443520 12.0
DP 0.448000 27.0
DP 0.452480 13.0
DP 0.456960 22.0
DP 0.461440 13.0
DP 0.465920 2.0
DP 0.470400 14.0
DP 0.474880 17.0
DP 0.479360 4.0
DP 0.483840 10.0
DP 0.488320 0.0
DP 0.492800 6.0
DP 0.497280 9.0
DP 0.501760 4.0
DP 0.506240 17.0
DP 0.510720 2.0
DP 0.515200 4.0
DP 0.519680 3.0
DP 0.524160 9.0
DP 0.528640 8.0
DP 0.533120 0.0
DP 0.537600 0.0
DP 0.542080 0.0
DP 0.546560 13.0
DP 0.551040 7.0
DP 0.555520 0.0
DP 0.560000 11.0
DP 0.564480 7.0
DP 0.568960 0.0
DP 0.573440 0.0
DP 0.577920 3.0
EN
