# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.56193 s. Light curve stops at 174.64193 s. Time resolution is 1.12386 s. There are 156 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_b0_n4 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 1043.0
DP 1.123860 1202.0
DP 2.247720 1417.0
DP 3.371580 1556.0
DP 4.495440 1530.0
DP 5.619300 1296.0
DP 6.743160 1348.0
DP 7.867020 1289.0
DP 8.990880 1348.0
DP 10.114740 1407.0
DP 11.238600 1318.0
DP 12.362460 1326.0
DP 13.486320 1355.0
DP 14.610180 1286.0
DP 15.734040 1163.0
DP 16.857900 1068.0
DP 17.981760 1148.0
DP 19.105620 1029.0
DP 20.229480 1095.0
DP 21.353340 1035.0
DP 22.477200 931.0
DP 23.601060 902.0
DP 24.724920 863.0
DP 25.848780 872.0
DP 26.972640 654.0
DP 28.096500 734.0
DP 29.220360 624.0
DP 30.344220 626.0
DP 31.468080 597.0
DP 32.591940 517.0
DP 33.715800 413.0
DP 34.839660 361.0
DP 35.963520 305.0
DP 37.087380 339.0
DP 38.211240 360.0
DP 39.335100 127.0
DP 40.458960 174.0
DP 41.582820 141.0
DP 42.706680 285.0
DP 43.830540 332.0
DP 44.954400 163.0
DP 46.078260 99.0
DP 47.202120 77.0
DP 48.325980 118.0
DP 49.449840 64.0
DP 50.573700 668.0
DP 51.697560 981.0
DP 52.821420 1078.0
DP 53.945280 1143.0
DP 55.069140 1087.0
DP 56.193000 1053.0
DP 57.316860 1424.0
DP 58.440720 1713.0
DP 59.564580 1847.0
DP 60.688440 1692.0
DP 61.812300 2187.0
DP 62.936160 5009.0
DP 64.060020 7742.0
DP 65.183880 7364.0
DP 66.307740 6944.0
DP 67.431600 6471.0
DP 68.555460 6341.0
DP 69.679320 6498.0
DP 70.803180 5747.0
DP 71.927040 5286.0
DP 73.050900 4134.0
DP 74.174760 2742.0
DP 75.298620 1837.0
DP 76.422480 1622.0
DP 77.546340 2081.0
DP 78.670200 2817.0
DP 79.794060 2616.0
DP 80.917920 3852.0
DP 82.041780 3715.0
DP 83.165640 3598.0
DP 84.289500 3683.0
DP 85.413360 4307.0
DP 86.537220 3481.0
DP 87.661080 3802.0
DP 88.784940 3564.0
DP 89.908800 2718.0
DP 91.032660 2239.0
DP 92.156520 1954.0
DP 93.280380 1558.0
DP 94.404240 1232.0
DP 95.528100 1114.0
DP 96.651960 897.0
DP 97.775820 849.0
DP 98.899680 630.0
DP 100.023540 567.0
DP 101.147400 408.0
DP 102.271260 407.0
DP 103.395120 393.0
DP 104.518980 403.0
DP 105.642840 612.0
DP 106.766700 318.0
DP 107.890560 379.0
DP 109.014420 689.0
DP 110.138280 1228.0
DP 111.262140 1300.0
DP 112.386000 1302.0
DP 113.509860 1266.0
DP 114.633720 1660.0
DP 115.757580 1607.0
DP 116.881440 1353.0
DP 118.005300 1142.0
DP 119.129160 883.0
DP 120.253020 636.0
DP 121.376880 708.0
DP 122.500740 692.0
DP 123.624600 412.0
DP 124.748460 326.0
DP 125.872320 245.0
DP 126.996180 395.0
DP 128.120040 118.0
DP 129.243900 224.0
DP 130.367760 150.0
DP 131.491620 107.0
DP 132.615480 68.0
DP 133.739340 55.0
DP 134.863200 0.0
DP 135.987060 0.0
DP 137.110920 0.0
DP 138.234780 0.0
DP 139.358640 0.0
DP 140.482500 0.0
DP 141.606360 0.0
DP 142.730220 0.0
DP 143.854080 0.0
DP 144.977940 0.0
DP 146.101800 0.0
DP 147.225660 0.0
DP 148.349520 0.0
DP 149.473380 0.0
DP 150.597240 0.0
DP 151.721100 0.0
DP 152.844960 0.0
DP 153.968820 0.0
DP 155.092680 0.0
DP 156.216540 0.0
DP 157.340400 0.0
DP 158.464260 0.0
DP 159.588120 0.0
DP 160.711980 0.0
DP 161.835840 0.0
DP 162.959700 0.0
DP 164.083560 0.0
DP 165.207420 0.0
DP 166.331280 0.0
DP 167.455140 0.0
DP 168.579000 0.0
DP 169.702860 0.0
DP 170.826720 0.0
DP 171.950580 0.0
DP 173.074440 0.0
DP 174.198300 0.0
EN
