# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.05538 s. Light curve stops at 63.51938 s. Time resolution is 0.12416 s. There are 513 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_b0_n2_n5 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 122.0
DP 0.124162 158.0
DP 0.248324 119.0
DP 0.372486 172.0
DP 0.496648 197.0
DP 0.620810 149.0
DP 0.744972 182.0
DP 0.869134 186.0
DP 0.993296 200.0
DP 1.117458 145.0
DP 1.241620 173.0
DP 1.365782 201.0
DP 1.489944 153.0
DP 1.614106 150.0
DP 1.738268 177.0
DP 1.862430 105.0
DP 1.986592 118.0
DP 2.110754 192.0
DP 2.234916 135.0
DP 2.359078 176.0
DP 2.483240 137.0
DP 2.607402 135.0
DP 2.731564 139.0
DP 2.855726 134.0
DP 2.979888 122.0
DP 3.104050 155.0
DP 3.228212 163.0
DP 3.352374 116.0
DP 3.476536 140.0
DP 3.600698 98.0
DP 3.724860 145.0
DP 3.849022 129.0
DP 3.973184 101.0
DP 4.097346 115.0
DP 4.221508 122.0
DP 4.345670 94.0
DP 4.469832 91.0
DP 4.593994 106.0
DP 4.718156 100.0
DP 4.842318 165.0
DP 4.966480 161.0
DP 5.090642 89.0
DP 5.214804 153.0
DP 5.338966 111.0
DP 5.463128 113.0
DP 5.587290 126.0
DP 5.711452 87.0
DP 5.835614 165.0
DP 5.959776 98.0
DP 6.083938 107.0
DP 6.208100 113.0
DP 6.332262 92.0
DP 6.456424 127.0
DP 6.580586 102.0
DP 6.704748 112.0
DP 6.828910 101.0
DP 6.953072 101.0
DP 7.077234 109.0
DP 7.201396 103.0
DP 7.325558 130.0
DP 7.449720 81.0
DP 7.573882 109.0
DP 7.698044 95.0
DP 7.822206 142.0
DP 7.946368 100.0
DP 8.070530 64.0
DP 8.194692 119.0
DP 8.318854 139.0
DP 8.443016 119.0
DP 8.567178 112.0
DP 8.691340 85.0
DP 8.815502 102.0
DP 8.939664 103.0
DP 9.063826 112.0
DP 9.187988 110.0
DP 9.312150 99.0
DP 9.436312 69.0
DP 9.560474 89.0
DP 9.684636 104.0
DP 9.808798 107.0
DP 9.932960 102.0
DP 10.057122 90.0
DP 10.181284 71.0
DP 10.305446 79.0
DP 10.429608 64.0
DP 10.553770 56.0
DP 10.677932 73.0
DP 10.802094 94.0
DP 10.926256 47.0
DP 11.050418 99.0
DP 11.174580 80.0
DP 11.298742 54.0
DP 11.422904 41.0
DP 11.547066 105.0
DP 11.671228 63.0
DP 11.795390 26.0
DP 11.919552 91.0
DP 12.043714 47.0
DP 12.167876 109.0
DP 12.292038 64.0
DP 12.416200 101.0
DP 12.540362 113.0
DP 12.664524 79.0
DP 12.788686 88.0
DP 12.912848 76.0
DP 13.037010 105.0
DP 13.161172 76.0
DP 13.285334 46.0
DP 13.409496 63.0
DP 13.533658 68.0
DP 13.657820 78.0
DP 13.781982 65.0
DP 13.906144 70.0
DP 14.030306 68.0
DP 14.154468 66.0
DP 14.278630 51.0
DP 14.402792 41.0
DP 14.526954 64.0
DP 14.651116 88.0
DP 14.775278 66.0
DP 14.899440 57.0
DP 15.023602 92.0
DP 15.147764 38.0
DP 15.271926 85.0
DP 15.396088 48.0
DP 15.520250 71.0
DP 15.644412 36.0
DP 15.768574 46.0
DP 15.892736 48.0
DP 16.016898 69.0
DP 16.141060 51.0
DP 16.265222 81.0
DP 16.389384 23.0
DP 16.513546 57.0
DP 16.637708 0.0
DP 16.761870 34.0
DP 16.886032 26.0
DP 17.010194 0.0
DP 17.134356 32.0
DP 17.258518 54.0
DP 17.382680 22.0
DP 17.506842 49.0
DP 17.631004 85.0
DP 17.755166 43.0
DP 17.879328 43.0
DP 18.003490 32.0
DP 18.127652 57.0
DP 18.251814 55.0
DP 18.375976 27.0
DP 18.500138 53.0
DP 18.624300 49.0
DP 18.748462 53.0
DP 18.872624 60.0
DP 18.996786 25.0
DP 19.120948 59.0
DP 19.245110 41.0
DP 19.369272 30.0
DP 19.493434 17.0
DP 19.617596 19.0
DP 19.741758 61.0
DP 19.865920 39.0
DP 19.990082 30.0
DP 20.114244 36.0
DP 20.238406 82.0
DP 20.362568 65.0
DP 20.486730 43.0
DP 20.610892 57.0
DP 20.735054 36.0
DP 20.859216 37.0
DP 20.983378 69.0
DP 21.107540 0.0
DP 21.231702 61.0
DP 21.355864 69.0
DP 21.480026 29.0
DP 21.604188 17.0
DP 21.728350 51.0
DP 21.852512 50.0
DP 21.976674 53.0
DP 22.100836 41.0
DP 22.224998 0.0
DP 22.349160 64.0
DP 22.473322 50.0
DP 22.597484 65.0
DP 22.721646 52.0
DP 22.845808 56.0
DP 22.969970 33.0
DP 23.094132 36.0
DP 23.218294 24.0
DP 23.342456 32.0
DP 23.466618 51.0
DP 23.590780 15.0
DP 23.714942 20.0
DP 23.839104 0.0
DP 23.963266 44.0
DP 24.087428 61.0
DP 24.211590 15.0
DP 24.335752 20.0
DP 24.459914 38.0
DP 24.584076 58.0
DP 24.708238 28.0
DP 24.832400 14.0
DP 24.956562 54.0
DP 25.080724 14.0
DP 25.204886 35.0
DP 25.329048 10.0
DP 25.453210 67.0
DP 25.577372 10.0
DP 25.701534 27.0
DP 25.825696 0.0
DP 25.949858 0.0
DP 26.074020 37.0
DP 26.198182 11.0
DP 26.322344 0.0
DP 26.446506 0.0
DP 26.570668 11.0
DP 26.694830 10.0
DP 26.818992 9.0
DP 26.943154 55.0
DP 27.067316 0.0
DP 27.191478 28.0
DP 27.315640 25.0
DP 27.439802 40.0
DP 27.563964 0.0
DP 27.688126 28.0
DP 27.812288 0.0
DP 27.936450 46.0
DP 28.060612 46.0
DP 28.184774 19.0
DP 28.308936 19.0
DP 28.433098 5.0
DP 28.557260 24.0
DP 28.681422 19.0
DP 28.805584 0.0
DP 28.929746 9.0
DP 29.053908 0.0
DP 29.178070 23.0
DP 29.302232 14.0
DP 29.426394 31.0
DP 29.550556 57.0
DP 29.674718 30.0
DP 29.798880 56.0
DP 29.923042 42.0
DP 30.047204 40.0
DP 30.171366 93.0
DP 30.295528 99.0
DP 30.419690 91.0
DP 30.543852 49.0
DP 30.668014 131.0
DP 30.792176 157.0
DP 30.916338 146.0
DP 31.040500 179.0
DP 31.164662 231.0
DP 31.288824 287.0
DP 31.412986 300.0
DP 31.537148 343.0
DP 31.661310 515.0
DP 31.785472 745.0
DP 31.909634 872.0
DP 32.033796 947.0
DP 32.157958 1058.0
DP 32.282120 1220.0
DP 32.406282 1515.0
DP 32.530444 1691.0
DP 32.654606 1952.0
DP 32.778768 1864.0
DP 32.902930 1929.0
DP 33.027092 2001.0
DP 33.151254 1979.0
DP 33.275416 2056.0
DP 33.399578 2214.0
DP 33.523740 2388.0
DP 33.647902 2360.0
DP 33.772064 2433.0
DP 33.896226 2589.0
DP 34.020388 2692.0
DP 34.144550 2816.0
DP 34.268712 2733.0
DP 34.392874 2746.0
DP 34.517036 2770.0
DP 34.641198 2741.0
DP 34.765360 2659.0
DP 34.889522 2553.0
DP 35.013684 2763.0
DP 35.137846 2885.0
DP 35.262008 2793.0
DP 35.386170 2939.0
DP 35.510332 3101.0
DP 35.634494 3164.0
DP 35.758656 3048.0
DP 35.882818 3036.0
DP 36.006980 2940.0
DP 36.131142 2819.0
DP 36.255304 2793.0
DP 36.379466 2779.0
DP 36.503628 2599.0
DP 36.627790 2781.0
DP 36.751952 2621.0
DP 36.876114 2462.0
DP 37.000276 2535.0
DP 37.124438 2328.0
DP 37.248600 2090.0
DP 37.372762 2055.0
DP 37.496924 1885.0
DP 37.621086 1858.0
DP 37.745248 1892.0
DP 37.869410 1782.0
DP 37.993572 1743.0
DP 38.117734 1791.0
DP 38.241896 1562.0
DP 38.366058 1587.0
