# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.86977 s. Light curve stops at 38.67977 s. Time resolution is 0.19328 s. There are 201 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_n1_n0_b0_n9 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 46.0
DP 0.193283 61.0
DP 0.386566 106.0
DP 0.579849 193.0
DP 0.773132 199.0
DP 0.966415 551.0
DP 1.159698 947.0
DP 1.352981 1257.0
DP 1.546264 1446.0
DP 1.739547 1351.0
DP 1.932830 1320.0
DP 2.126113 883.0
DP 2.319396 1145.0
DP 2.512679 1139.0
DP 2.705962 1255.0
DP 2.899245 1190.0
DP 3.092528 1146.0
DP 3.285811 1250.0
DP 3.479094 1567.0
DP 3.672377 1332.0
DP 3.865660 1388.0
DP 4.058943 1659.0
DP 4.252226 1237.0
DP 4.445509 1278.0
DP 4.638792 1489.0
DP 4.832075 1100.0
DP 5.025358 1270.0
DP 5.218641 1669.0
DP 5.411924 881.0
DP 5.605207 1184.0
DP 5.798490 1343.0
DP 5.991773 1514.0
DP 6.185056 1692.0
DP 6.378339 1155.0
DP 6.571622 1753.0
DP 6.764905 1923.0
DP 6.958188 1919.0
DP 7.151471 1923.0
DP 7.344754 1756.0
DP 7.538037 1989.0
DP 7.731320 2331.0
DP 7.924603 2345.0
DP 8.117886 2606.0
DP 8.311169 2900.0
DP 8.504452 2980.0
DP 8.697735 3640.0
DP 8.891018 4137.0
DP 9.084301 4191.0
DP 9.277584 4547.0
DP 9.470867 4687.0
DP 9.664150 3871.0
DP 9.857433 4264.0
DP 10.050716 4626.0
DP 10.243999 4876.0
DP 10.437282 4519.0
DP 10.630565 5912.0
DP 10.823848 5111.0
DP 11.017131 4287.0
DP 11.210414 4059.0
DP 11.403697 3755.0
DP 11.596980 4195.0
DP 11.790263 4579.0
DP 11.983546 4302.0
DP 12.176829 3781.0
DP 12.370112 2964.0
DP 12.563395 3006.0
DP 12.756678 3278.0
DP 12.949961 2213.0
DP 13.143244 2832.0
DP 13.336527 3043.0
DP 13.529810 1844.0
DP 13.723093 1659.0
DP 13.916376 3844.0
DP 14.109659 4705.0
DP 14.302942 3879.0
DP 14.496225 3081.0
DP 14.689508 3607.0
DP 14.882791 3760.0
DP 15.076074 4377.0
DP 15.269357 3449.0
DP 15.462640 3312.0
DP 15.655923 3866.0
DP 15.849206 4319.0
DP 16.042489 4677.0
DP 16.235772 3900.0
DP 16.429055 3708.0
DP 16.622338 3206.0
DP 16.815621 2560.0
DP 17.008904 2934.0
DP 17.202187 4170.0
DP 17.395470 3824.0
DP 17.588753 3425.0
DP 17.782036 2362.0
DP 17.975319 2495.0
DP 18.168602 2793.0
DP 18.361885 2361.0
DP 18.555168 1971.0
DP 18.748451 2055.0
DP 18.941734 2272.0
DP 19.135017 2093.0
DP 19.328300 2723.0
DP 19.521583 2793.0
DP 19.714866 1632.0
DP 19.908149 1852.0
DP 20.101432 2417.0
DP 20.294715 3487.0
DP 20.487998 3875.0
DP 20.681281 3906.0
DP 20.874564 3512.0
DP 21.067847 2589.0
DP 21.261130 2677.0
DP 21.454413 3099.0
DP 21.647696 2932.0
DP 21.840979 3079.0
DP 22.034262 1617.0
DP 22.227545 2526.0
DP 22.420828 2527.0
DP 22.614111 2549.0
DP 22.807394 2580.0
DP 23.000677 2351.0
DP 23.193960 885.0
DP 23.387243 298.0
DP 23.580526 375.0
DP 23.773809 1490.0
DP 23.967092 1321.0
DP 24.160375 797.0
DP 24.353658 419.0
DP 24.546941 233.0
DP 24.740224 355.0
DP 24.933507 1223.0
DP 25.126790 1847.0
DP 25.320073 817.0
DP 25.513356 223.0
DP 25.706639 101.0
DP 25.899922 0.0
DP 26.093205 50.0
DP 26.286488 0.0
DP 26.479771 0.0
DP 26.673054 22.0
DP 26.866337 51.0
DP 27.059620 0.0
DP 27.252903 97.0
DP 27.446186 67.0
DP 27.639469 162.0
DP 27.832752 86.0
DP 28.026035 89.0
DP 28.219318 0.0
DP 28.412601 0.0
DP 28.605884 0.0
DP 28.799167 0.0
DP 28.992450 0.0
DP 29.185733 0.0
DP 29.379016 0.0
DP 29.572299 0.0
DP 29.765582 6.0
DP 29.958865 0.0
DP 30.152148 6.0
DP 30.345431 0.0
DP 30.538714 0.0
DP 30.731997 0.0
DP 30.925280 0.0
DP 31.118563 0.0
DP 31.311846 0.0
DP 31.505129 0.0
DP 31.698412 0.0
DP 31.891695 0.0
DP 32.084978 0.0
DP 32.278261 0.0
DP 32.471544 0.0
DP 32.664827 0.0
DP 32.858110 0.0
DP 33.051393 0.0
DP 33.244676 0.0
DP 33.437959 0.0
DP 33.631242 0.0
DP 33.824525 0.0
DP 34.017808 0.0
DP 34.211091 0.0
DP 34.404374 0.0
DP 34.597657 0.0
DP 34.790940 0.0
DP 34.984223 0.0
DP 35.177506 0.0
DP 35.370789 0.0
DP 35.564072 0.0
DP 35.757355 0.0
DP 35.950638 0.0
DP 36.143921 0.0
DP 36.337204 0.0
DP 36.530487 0.0
DP 36.723770 0.0
DP 36.917053 0.0
DP 37.110336 0.0
DP 37.303619 0.0
DP 37.496902 0.0
DP 37.690185 0.0
DP 37.883468 0.0
DP 38.076751 0.0
DP 38.270034 0.0
DP 38.463317 0.0
DP 38.656600 0.0
EN
