# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.00067 s. Light curve stops at 16.36067 s. Time resolution is 0.08701 s. There are 189 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_b1_n9_n7_n6 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.087014 9.0
DP 0.174029 18.0
DP 0.261043 0.0
DP 0.348058 0.0
DP 0.435072 0.0
DP 0.522086 0.0
DP 0.609101 0.0
DP 0.696115 1.0
DP 0.783130 72.0
DP 0.870144 64.0
DP 0.957158 295.0
DP 1.044173 654.0
DP 1.131187 960.0
DP 1.218202 1237.0
DP 1.305216 2057.0
DP 1.392230 2360.0
DP 1.479245 2211.0
DP 1.566259 1999.0
DP 1.653274 1789.0
DP 1.740288 1646.0
DP 1.827302 1312.0
DP 1.914317 1050.0
DP 2.001331 942.0
DP 2.088346 882.0
DP 2.175360 1006.0
DP 2.262374 1492.0
DP 2.349389 1645.0
DP 2.436403 2351.0
DP 2.523418 1989.0
DP 2.610432 1363.0
DP 2.697446 1087.0
DP 2.784461 893.0
DP 2.871475 685.0
DP 2.958490 605.0
DP 3.045504 480.0
DP 3.132518 405.0
DP 3.219533 383.0
DP 3.306547 264.0
DP 3.393562 226.0
DP 3.480576 270.0
DP 3.567590 258.0
DP 3.654605 273.0
DP 3.741619 191.0
DP 3.828634 283.0
DP 3.915648 223.0
DP 4.002662 259.0
DP 4.089677 221.0
DP 4.176691 244.0
DP 4.263706 276.0
DP 4.350720 240.0
DP 4.437734 303.0
DP 4.524749 263.0
DP 4.611763 304.0
DP 4.698778 314.0
DP 4.785792 343.0
DP 4.872806 400.0
DP 4.959821 412.0
DP 5.046835 353.0
DP 5.133850 364.0
DP 5.220864 326.0
DP 5.307878 286.0
DP 5.394893 336.0
DP 5.481907 361.0
DP 5.568922 320.0
DP 5.655936 329.0
DP 5.742950 280.0
DP 5.829965 231.0
DP 5.916979 234.0
DP 6.003994 248.0
DP 6.091008 201.0
DP 6.178022 215.0
DP 6.265037 213.0
DP 6.352051 258.0
DP 6.439066 269.0
DP 6.526080 326.0
DP 6.613094 305.0
DP 6.700109 296.0
DP 6.787123 308.0
DP 6.874138 264.0
DP 6.961152 252.0
DP 7.048166 308.0
DP 7.135181 300.0
DP 7.222195 345.0
DP 7.309210 305.0
DP 7.396224 301.0
DP 7.483238 279.0
DP 7.570253 289.0
DP 7.657267 564.0
DP 7.744282 891.0
DP 7.831296 991.0
DP 7.918310 989.0
DP 8.005325 913.0
DP 8.092339 871.0
DP 8.179354 839.0
DP 8.266368 817.0
DP 8.353382 684.0
DP 8.440397 642.0
DP 8.527411 587.0
DP 8.614426 648.0
DP 8.701440 514.0
DP 8.788454 460.0
DP 8.875469 432.0
DP 8.962483 420.0
DP 9.049498 380.0
DP 9.136512 344.0
DP 9.223526 324.0
DP 9.310541 288.0
DP 9.397555 282.0
DP 9.484570 296.0
DP 9.571584 248.0
DP 9.658598 220.0
DP 9.745613 241.0
DP 9.832627 219.0
DP 9.919642 226.0
DP 10.006656 186.0
DP 10.093670 199.0
DP 10.180685 173.0
DP 10.267699 92.0
DP 10.354714 168.0
DP 10.441728 150.0
DP 10.528742 113.0
DP 10.615757 77.0
DP 10.702771 119.0
DP 10.789786 96.0
DP 10.876800 126.0
DP 10.963814 69.0
DP 11.050829 104.0
DP 11.137843 96.0
DP 11.224858 79.0
DP 11.311872 77.0
DP 11.398886 43.0
DP 11.485901 75.0
DP 11.572915 50.0
DP 11.659930 80.0
DP 11.746944 21.0
DP 11.833958 41.0
DP 11.920973 57.0
DP 12.007987 11.0
DP 12.095002 58.0
DP 12.182016 35.0
DP 12.269030 0.0
DP 12.356045 57.0
DP 12.443059 73.0
DP 12.530074 43.0
DP 12.617088 40.0
DP 12.704102 20.0
DP 12.791117 30.0
DP 12.878131 3.0
DP 12.965146 18.0
DP 13.052160 29.0
DP 13.139174 24.0
DP 13.226189 26.0
DP 13.313203 25.0
DP 13.400218 0.0
DP 13.487232 3.0
DP 13.574246 6.0
DP 13.661261 71.0
DP 13.748275 0.0
DP 13.835290 49.0
DP 13.922304 9.0
DP 14.009318 21.0
DP 14.096333 22.0
DP 14.183347 36.0
DP 14.270362 0.0
DP 14.357376 0.0
DP 14.444390 50.0
DP 14.531405 17.0
DP 14.618419 5.0
DP 14.705434 16.0
DP 14.792448 17.0
DP 14.879462 0.0
DP 14.966477 13.0
DP 15.053491 6.0
DP 15.140506 42.0
DP 15.227520 30.0
DP 15.314534 0.0
DP 15.401549 25.0
DP 15.488563 36.0
DP 15.575578 31.0
DP 15.662592 0.0
DP 15.749606 42.0
DP 15.836621 39.0
DP 15.923635 0.0
DP 16.010650 26.0
DP 16.097664 16.0
DP 16.184678 0.0
DP 16.271693 28.0
DP 16.358707 0.0
EN
