# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.00067 s. Light curve stops at 16.36067 s. Time resolution is 0.08701 s. There are 189 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector b1 with energy in [250.0,40000.0] keV.
IP LINLIN
DP 0.000000 0.0
DP 0.087014 0.0
DP 0.174029 6.0
DP 0.261043 0.0
DP 0.348058 0.0
DP 0.435072 0.0
DP 0.522086 6.0
DP 0.609101 0.0
DP 0.696115 15.0
DP 0.783130 22.0
DP 0.870144 0.0
DP 0.957158 10.0
DP 1.044173 29.0
DP 1.131187 20.0
DP 1.218202 36.0
DP 1.305216 45.0
DP 1.392230 40.0
DP 1.479245 56.0
DP 1.566259 37.0
DP 1.653274 20.0
DP 1.740288 27.0
DP 1.827302 38.0
DP 1.914317 8.0
DP 2.001331 17.0
DP 2.088346 0.0
DP 2.175360 30.0
DP 2.262374 44.0
DP 2.349389 59.0
DP 2.436403 132.0
DP 2.523418 100.0
DP 2.610432 41.0
DP 2.697446 29.0
DP 2.784461 44.0
DP 2.871475 24.0
DP 2.958490 23.0
DP 3.045504 13.0
DP 3.132518 9.0
DP 3.219533 0.0
DP 3.306547 0.0
DP 3.393562 0.0
DP 3.480576 16.0
DP 3.567590 2.0
DP 3.654605 13.0
DP 3.741619 0.0
DP 3.828634 0.0
DP 3.915648 0.0
DP 4.002662 2.0
DP 4.089677 4.0
DP 4.176691 4.0
DP 4.263706 0.0
DP 4.350720 0.0
DP 4.437734 27.0
DP 4.524749 12.0
DP 4.611763 0.0
DP 4.698778 4.0
DP 4.785792 0.0
DP 4.872806 0.0
DP 4.959821 19.0
DP 5.046835 9.0
DP 5.133850 0.0
DP 5.220864 7.0
DP 5.307878 0.0
DP 5.394893 19.0
DP 5.481907 14.0
DP 5.568922 0.0
DP 5.655936 3.0
DP 5.742950 0.0
DP 5.829965 0.0
DP 5.916979 0.0
DP 6.003994 0.0
DP 6.091008 4.0
DP 6.178022 0.0
DP 6.265037 0.0
DP 6.352051 2.0
DP 6.439066 0.0
DP 6.526080 18.0
DP 6.613094 0.0
DP 6.700109 0.0
DP 6.787123 0.0
DP 6.874138 0.0
DP 6.961152 0.0
DP 7.048166 0.0
DP 7.135181 0.0
DP 7.222195 12.0
DP 7.309210 22.0
DP 7.396224 6.0
DP 7.483238 0.0
DP 7.570253 0.0
DP 7.657267 0.0
DP 7.744282 0.0
DP 7.831296 0.0
DP 7.918310 0.0
DP 8.005325 0.0
DP 8.092339 0.0
DP 8.179354 5.0
DP 8.266368 0.0
DP 8.353382 0.0
DP 8.440397 0.0
DP 8.527411 9.0
DP 8.614426 15.0
DP 8.701440 0.0
DP 8.788454 0.0
DP 8.875469 9.0
DP 8.962483 0.0
DP 9.049498 0.0
DP 9.136512 0.0
DP 9.223526 4.0
DP 9.310541 0.0
DP 9.397555 0.0
DP 9.484570 0.0
DP 9.571584 0.0
DP 9.658598 16.0
DP 9.745613 0.0
DP 9.832627 0.0
DP 9.919642 0.0
DP 10.006656 11.0
DP 10.093670 15.0
DP 10.180685 9.0
DP 10.267699 0.0
DP 10.354714 16.0
DP 10.441728 0.0
DP 10.528742 2.0
DP 10.615757 0.0
DP 10.702771 22.0
DP 10.789786 0.0
DP 10.876800 11.0
DP 10.963814 1.0
DP 11.050829 2.0
DP 11.137843 7.0
DP 11.224858 3.0
DP 11.311872 6.0
DP 11.398886 0.0
DP 11.485901 3.0
DP 11.572915 0.0
DP 11.659930 8.0
DP 11.746944 0.0
DP 11.833958 2.0
DP 11.920973 11.0
DP 12.007987 0.0
DP 12.095002 10.0
DP 12.182016 0.0
DP 12.269030 0.0
DP 12.356045 2.0
DP 12.443059 8.0
DP 12.530074 17.0
DP 12.617088 0.0
DP 12.704102 0.0
DP 12.791117 2.0
DP 12.878131 0.0
DP 12.965146 0.0
DP 13.052160 6.0
DP 13.139174 0.0
DP 13.226189 0.0
DP 13.313203 11.0
DP 13.400218 0.0
DP 13.487232 0.0
DP 13.574246 0.0
DP 13.661261 15.0
DP 13.748275 0.0
DP 13.835290 25.0
DP 13.922304 0.0
DP 14.009318 2.0
DP 14.096333 4.0
DP 14.183347 9.0
DP 14.270362 0.0
DP 14.357376 0.0
DP 14.444390 5.0
DP 14.531405 12.0
DP 14.618419 0.0
DP 14.705434 0.0
DP 14.792448 0.0
DP 14.879462 0.0
DP 14.966477 11.0
DP 15.053491 1.0
DP 15.140506 6.0
DP 15.227520 7.0
DP 15.314534 0.0
DP 15.401549 0.0
DP 15.488563 0.0
DP 15.575578 4.0
DP 15.662592 4.0
DP 15.749606 11.0
DP 15.836621 15.0
DP 15.923635 0.0
DP 16.010650 0.0
DP 16.097664 9.0
DP 16.184678 6.0
DP 16.271693 4.0
DP 16.358707 0.0
EN
