# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at -0.02847 s. Light curve stops at 13.28353 s. Time resolution is 0.05693 s. There are 234 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_n8_nb_n7_b1 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 170.0
DP 0.056933 159.0
DP 0.113866 233.0
DP 0.170799 323.0
DP 0.227732 417.0
DP 0.284665 523.0
DP 0.341597 532.0
DP 0.398530 581.0
DP 0.455463 547.0
DP 0.512396 510.0
DP 0.569329 439.0
DP 0.626262 426.0
DP 0.683195 411.0
DP 0.740128 446.0
DP 0.797061 445.0
DP 0.853994 453.0
DP 0.910926 467.0
DP 0.967859 523.0
DP 1.024792 615.0
DP 1.081725 577.0
DP 1.138658 643.0
DP 1.195591 635.0
DP 1.252524 643.0
DP 1.309457 721.0
DP 1.366390 710.0
DP 1.423323 632.0
DP 1.480255 721.0
DP 1.537188 698.0
DP 1.594121 734.0
DP 1.651054 798.0
DP 1.707987 778.0
DP 1.764920 804.0
DP 1.821853 862.0
DP 1.878786 864.0
DP 1.935719 969.0
DP 1.992651 1133.0
DP 2.049584 1259.0
DP 2.106517 1202.0
DP 2.163450 1249.0
DP 2.220383 1316.0
DP 2.277316 1335.0
DP 2.334249 1405.0
DP 2.391182 1415.0
DP 2.448115 1390.0
DP 2.505048 1248.0
DP 2.561981 1218.0
DP 2.618913 1110.0
DP 2.675846 1025.0
DP 2.732779 1025.0
DP 2.789712 972.0
DP 2.846645 895.0
DP 2.903578 892.0
DP 2.960511 871.0
DP 3.017444 884.0
DP 3.074377 844.0
DP 3.131310 715.0
DP 3.188242 781.0
DP 3.245175 745.0
DP 3.302108 729.0
DP 3.359041 662.0
DP 3.415974 666.0
DP 3.472907 602.0
DP 3.529840 617.0
DP 3.586773 723.0
DP 3.643706 737.0
DP 3.700639 813.0
DP 3.757571 968.0
DP 3.814504 1143.0
DP 3.871437 1386.0
DP 3.928370 1472.0
DP 3.985303 1500.0
DP 4.042236 1383.0
DP 4.099169 1228.0
DP 4.156102 1176.0
DP 4.213035 1055.0
DP 4.269967 1006.0
DP 4.326900 873.0
DP 4.383833 806.0
DP 4.440766 703.0
DP 4.497699 647.0
DP 4.554632 568.0
DP 4.611565 576.0
DP 4.668498 487.0
DP 4.725431 519.0
DP 4.782364 474.0
DP 4.839297 571.0
DP 4.896229 544.0
DP 4.953162 569.0
DP 5.010095 580.0
DP 5.067028 623.0
DP 5.123961 565.0
DP 5.180894 533.0
DP 5.237827 486.0
DP 5.294760 427.0
DP 5.351693 406.0
DP 5.408626 401.0
DP 5.465558 336.0
DP 5.522491 316.0
DP 5.579424 288.0
DP 5.636357 250.0
DP 5.693290 239.0
DP 5.750223 200.0
DP 5.807156 212.0
DP 5.864089 179.0
DP 5.921022 176.0
DP 5.977955 183.0
DP 6.034887 192.0
DP 6.091820 169.0
DP 6.148753 219.0
DP 6.205686 180.0
DP 6.262619 179.0
DP 6.319552 165.0
DP 6.376485 158.0
DP 6.433418 181.0
DP 6.490351 138.0
DP 6.547284 150.0
DP 6.604216 148.0
DP 6.661149 128.0
DP 6.718082 136.0
DP 6.775015 120.0
DP 6.831948 141.0
DP 6.888881 104.0
DP 6.945814 140.0
DP 7.002747 120.0
DP 7.059680 158.0
DP 7.116613 115.0
DP 7.173545 110.0
DP 7.230478 133.0
DP 7.287411 105.0
DP 7.344344 89.0
DP 7.401277 123.0
DP 7.458210 80.0
DP 7.515143 59.0
DP 7.572076 77.0
DP 7.629009 92.0
DP 7.685942 79.0
DP 7.742874 85.0
DP 7.799807 85.0
DP 7.856740 44.0
DP 7.913673 70.0
DP 7.970606 50.0
DP 8.027539 31.0
DP 8.084472 57.0
DP 8.141405 82.0
DP 8.198338 53.0
DP 8.255270 49.0
DP 8.312203 29.0
DP 8.369136 49.0
DP 8.426069 60.0
DP 8.483002 47.0
DP 8.539935 67.0
DP 8.596868 52.0
DP 8.653801 26.0
DP 8.710734 44.0
DP 8.767667 66.0
DP 8.824600 19.0
DP 8.881532 40.0
DP 8.938465 23.0
DP 8.995398 24.0
DP 9.052331 29.0
DP 9.109264 23.0
DP 9.166197 44.0
DP 9.223130 0.0
DP 9.280063 38.0
DP 9.336996 24.0
DP 9.393929 66.0
DP 9.450861 24.0
DP 9.507794 21.0
DP 9.564727 33.0
DP 9.621660 20.0
DP 9.678593 15.0
DP 9.735526 39.0
DP 9.792459 30.0
DP 9.849392 33.0
DP 9.906325 22.0
DP 9.963258 24.0
