# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at -0.02847 s. Light curve stops at 13.28353 s. Time resolution is 0.05693 s. There are 234 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector b1 with energy in [250.0,40000.0] keV.
IP LINLIN
DP 0.000000 45.0
DP 0.056933 4.0
DP 0.113866 24.0
DP 0.170799 24.0
DP 0.227732 36.0
DP 0.284665 41.0
DP 0.341597 43.0
DP 0.398530 46.0
DP 0.455463 25.0
DP 0.512396 15.0
DP 0.569329 0.0
DP 0.626262 26.0
DP 0.683195 13.0
DP 0.740128 16.0
DP 0.797061 26.0
DP 0.853994 20.0
DP 0.910926 0.0
DP 0.967859 13.0
DP 1.024792 29.0
DP 1.081725 3.0
DP 1.138658 30.0
DP 1.195591 16.0
DP 1.252524 19.0
DP 1.309457 8.0
DP 1.366390 8.0
DP 1.423323 0.0
DP 1.480255 4.0
DP 1.537188 0.0
DP 1.594121 18.0
DP 1.651054 16.0
DP 1.707987 0.0
DP 1.764920 5.0
DP 1.821853 7.0
DP 1.878786 9.0
DP 1.935719 13.0
DP 1.992651 29.0
DP 2.049584 39.0
DP 2.106517 32.0
DP 2.163450 37.0
DP 2.220383 41.0
DP 2.277316 53.0
DP 2.334249 64.0
DP 2.391182 52.0
DP 2.448115 43.0
DP 2.505048 46.0
DP 2.561981 48.0
DP 2.618913 41.0
DP 2.675846 35.0
DP 2.732779 32.0
DP 2.789712 41.0
DP 2.846645 24.0
DP 2.903578 20.0
DP 2.960511 18.0
DP 3.017444 21.0
DP 3.074377 21.0
DP 3.131310 4.0
DP 3.188242 17.0
DP 3.245175 22.0
DP 3.302108 13.0
DP 3.359041 15.0
DP 3.415974 20.0
DP 3.472907 17.0
DP 3.529840 3.0
DP 3.586773 23.0
DP 3.643706 26.0
DP 3.700639 13.0
DP 3.757571 17.0
DP 3.814504 26.0
DP 3.871437 38.0
DP 3.928370 45.0
DP 3.985303 48.0
DP 4.042236 57.0
DP 4.099169 12.0
DP 4.156102 22.0
DP 4.213035 30.0
DP 4.269967 27.0
DP 4.326900 0.0
DP 4.383833 10.0
DP 4.440766 7.0
DP 4.497699 2.0
DP 4.554632 16.0
DP 4.611565 2.0
DP 4.668498 5.0
DP 4.725431 12.0
DP 4.782364 5.0
DP 4.839297 11.0
DP 4.896229 5.0
DP 4.953162 0.0
DP 5.010095 14.0
DP 5.067028 8.0
DP 5.123961 23.0
DP 5.180894 1.0
DP 5.237827 5.0
DP 5.294760 0.0
DP 5.351693 6.0
DP 5.408626 6.0
DP 5.465558 1.0
DP 5.522491 6.0
DP 5.579424 0.0
DP 5.636357 28.0
DP 5.693290 10.0
DP 5.750223 0.0
DP 5.807156 1.0
DP 5.864089 0.0
DP 5.921022 0.0
DP 5.977955 8.0
DP 6.034887 3.0
DP 6.091820 8.0
DP 6.148753 0.0
DP 6.205686 0.0
DP 6.262619 0.0
DP 6.319552 0.0
DP 6.376485 0.0
DP 6.433418 2.0
DP 6.490351 1.0
DP 6.547284 0.0
DP 6.604216 1.0
DP 6.661149 0.0
DP 6.718082 5.0
DP 6.775015 0.0
DP 6.831948 8.0
DP 6.888881 0.0
DP 6.945814 8.0
DP 7.002747 0.0
DP 7.059680 26.0
DP 7.116613 0.0
DP 7.173545 8.0
DP 7.230478 11.0
DP 7.287411 1.0
DP 7.344344 0.0
DP 7.401277 4.0
DP 7.458210 5.0
DP 7.515143 6.0
DP 7.572076 3.0
DP 7.629009 13.0
DP 7.685942 0.0
DP 7.742874 5.0
DP 7.799807 0.0
DP 7.856740 0.0
DP 7.913673 18.0
DP 7.970606 0.0
DP 8.027539 8.0
DP 8.084472 0.0
DP 8.141405 21.0
DP 8.198338 3.0
DP 8.255270 0.0
DP 8.312203 0.0
DP 8.369136 3.0
DP 8.426069 9.0
DP 8.483002 17.0
DP 8.539935 0.0
DP 8.596868 2.0
DP 8.653801 0.0
DP 8.710734 0.0
DP 8.767667 10.0
DP 8.824600 4.0
DP 8.881532 16.0
DP 8.938465 1.0
DP 8.995398 0.0
DP 9.052331 1.0
DP 9.109264 8.0
DP 9.166197 8.0
DP 9.223130 0.0
DP 9.280063 5.0
DP 9.336996 0.0
DP 9.393929 18.0
DP 9.450861 0.0
DP 9.507794 0.0
DP 9.564727 0.0
DP 9.621660 1.0
DP 9.678593 0.0
DP 9.735526 10.0
DP 9.792459 8.0
DP 9.849392 10.0
DP 9.906325 3.0
DP 9.963258 2.0
DP 10.020190 0.0
DP 10.077123 0.0
DP 10.134056 1.0
DP 10.190989 0.0
DP 10.247922 0.0
DP 10.304855 0.0
DP 10.361788 1.0
DP 10.418721 0.0
DP 10.475654 3.0
DP 10.532587 5.0
DP 10.589519 1.0
DP 10.646452 0.0
DP 10.703385 12.0
DP 10.760318 10.0
DP 10.817251 0.0
DP 10.874184 17.0
DP 10.931117 0.0
DP 10.988050 1.0
DP 11.044983 19.0
DP 11.101916 0.0
DP 11.158848 7.0
DP 11.215781 10.0
DP 11.272714 7.0
DP 11.329647 19.0
DP 11.386580 26.0
DP 11.443513 3.0
