# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at -0.02847 s. Light curve stops at 13.28353 s. Time resolution is 0.05693 s. There are 234 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector nb with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 26.0
DP 0.056933 35.0
DP 0.113866 25.0
DP 0.170799 50.0
DP 0.227732 72.0
DP 0.284665 90.0
DP 0.341597 67.0
DP 0.398530 81.0
DP 0.455463 73.0
DP 0.512396 75.0
DP 0.569329 83.0
DP 0.626262 67.0
DP 0.683195 65.0
DP 0.740128 59.0
DP 0.797061 52.0
DP 0.853994 60.0
DP 0.910926 81.0
DP 0.967859 84.0
DP 1.024792 89.0
DP 1.081725 79.0
DP 1.138658 106.0
DP 1.195591 84.0
DP 1.252524 104.0
DP 1.309457 94.0
DP 1.366390 110.0
DP 1.423323 75.0
DP 1.480255 102.0
DP 1.537188 116.0
DP 1.594121 106.0
DP 1.651054 114.0
DP 1.707987 121.0
DP 1.764920 100.0
DP 1.821853 133.0
DP 1.878786 119.0
DP 1.935719 120.0
DP 1.992651 154.0
DP 2.049584 185.0
DP 2.106517 164.0
DP 2.163450 193.0
DP 2.220383 160.0
DP 2.277316 235.0
DP 2.334249 225.0
DP 2.391182 223.0
DP 2.448115 200.0
DP 2.505048 186.0
DP 2.561981 176.0
DP 2.618913 169.0
DP 2.675846 156.0
DP 2.732779 168.0
DP 2.789712 152.0
DP 2.846645 118.0
DP 2.903578 108.0
DP 2.960511 122.0
DP 3.017444 134.0
DP 3.074377 141.0
DP 3.131310 97.0
DP 3.188242 117.0
DP 3.245175 98.0
DP 3.302108 106.0
DP 3.359041 77.0
DP 3.415974 95.0
DP 3.472907 80.0
DP 3.529840 81.0
DP 3.586773 119.0
DP 3.643706 91.0
DP 3.700639 108.0
DP 3.757571 132.0
DP 3.814504 189.0
DP 3.871437 207.0
DP 3.928370 217.0
DP 3.985303 226.0
DP 4.042236 192.0
DP 4.099169 174.0
DP 4.156102 168.0
DP 4.213035 149.0
DP 4.269967 130.0
DP 4.326900 123.0
DP 4.383833 111.0
DP 4.440766 95.0
DP 4.497699 103.0
DP 4.554632 82.0
DP 4.611565 71.0
DP 4.668498 64.0
DP 4.725431 56.0
DP 4.782364 59.0
DP 4.839297 87.0
DP 4.896229 65.0
DP 4.953162 93.0
DP 5.010095 94.0
DP 5.067028 77.0
DP 5.123961 62.0
DP 5.180894 81.0
DP 5.237827 65.0
DP 5.294760 53.0
DP 5.351693 52.0
DP 5.408626 50.0
DP 5.465558 46.0
DP 5.522491 46.0
DP 5.579424 29.0
DP 5.636357 19.0
DP 5.693290 39.0
DP 5.750223 18.0
DP 5.807156 20.0
DP 5.864089 32.0
DP 5.921022 22.0
DP 5.977955 18.0
DP 6.034887 35.0
DP 6.091820 22.0
DP 6.148753 44.0
DP 6.205686 22.0
DP 6.262619 25.0
DP 6.319552 25.0
DP 6.376485 23.0
DP 6.433418 14.0
DP 6.490351 16.0
DP 6.547284 31.0
DP 6.604216 22.0
DP 6.661149 7.0
DP 6.718082 19.0
DP 6.775015 16.0
DP 6.831948 20.0
DP 6.888881 11.0
DP 6.945814 16.0
DP 7.002747 9.0
DP 7.059680 14.0
DP 7.116613 18.0
DP 7.173545 12.0
DP 7.230478 7.0
DP 7.287411 14.0
DP 7.344344 6.0
DP 7.401277 17.0
DP 7.458210 2.0
DP 7.515143 0.0
DP 7.572076 9.0
DP 7.629009 16.0
DP 7.685942 8.0
DP 7.742874 15.0
DP 7.799807 17.0
DP 7.856740 8.0
DP 7.913673 13.0
DP 7.970606 7.0
DP 8.027539 0.0
DP 8.084472 0.0
DP 8.141405 0.0
DP 8.198338 14.0
DP 8.255270 15.0
DP 8.312203 10.0
DP 8.369136 5.0
DP 8.426069 7.0
DP 8.483002 2.0
DP 8.539935 23.0
DP 8.596868 17.0
DP 8.653801 6.0
DP 8.710734 12.0
DP 8.767667 6.0
DP 8.824600 7.0
DP 8.881532 0.0
DP 8.938465 3.0
DP 8.995398 0.0
DP 9.052331 8.0
DP 9.109264 0.0
DP 9.166197 12.0
DP 9.223130 2.0
DP 9.280063 4.0
DP 9.336996 4.0
DP 9.393929 10.0
DP 9.450861 4.0
DP 9.507794 7.0
DP 9.564727 3.0
DP 9.621660 0.0
DP 9.678593 1.0
DP 9.735526 9.0
DP 9.792459 5.0
DP 9.849392 0.0
DP 9.906325 7.0
DP 9.963258 9.0
DP 10.020190 8.0
DP 10.077123 8.0
DP 10.134056 10.0
DP 10.190989 10.0
DP 10.247922 1.0
DP 10.304855 10.0
DP 10.361788 0.0
DP 10.418721 7.0
DP 10.475654 0.0
DP 10.532587 9.0
DP 10.589519 12.0
DP 10.646452 1.0
DP 10.703385 7.0
DP 10.760318 0.0
DP 10.817251 0.0
DP 10.874184 0.0
DP 10.931117 3.0
DP 10.988050 11.0
DP 11.044983 15.0
DP 11.101916 0.0
DP 11.158848 19.0
DP 11.215781 0.0
DP 11.272714 2.0
DP 11.329647 0.0
DP 11.386580 0.0
DP 11.443513 7.0
DP 11.500446 0.0
DP 11.557379 4.0
DP 11.614312 1.0
DP 11.671245 10.0
DP 11.728177 0.0
DP 11.785110 6.0
DP 11.842043 4.0
DP 11.898976 0.0
DP 11.955909 0.0
DP 12.012842 8.0
DP 12.069775 0.0
DP 12.126708 17.0
DP 12.183641 2.0
DP 12.240573 0.0
DP 12.297506 15.0
DP 12.354439 3.0
DP 12.411372 4.0
DP 12.468305 3.0
DP 12.525238 8.0
DP 12.582171 0.0
DP 12.639104 3.0
DP 12.696037 0.0
DP 12.752970 0.0
DP 12.809902 0.0
DP 12.866835 3.0
DP 12.923768 0.0
DP 12.980701 13.0
DP 13.037634 7.0
DP 13.094567 0.0
DP 13.151500 3.0
DP 13.208433 10.0
DP 13.265366 2.0
EN
