# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at -0.00056 s. Light curve stops at 0.06344 s. Time resolution is 0.00112 s. There are 58 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_nb_b1_n8 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 5.0
DP 0.001120 4.0
DP 0.002240 2.0
DP 0.003360 4.0
DP 0.004480 3.0
DP 0.005600 5.0
DP 0.006720 2.0
DP 0.007840 9.0
DP 0.008960 4.0
DP 0.010080 5.0
DP 0.011200 5.0
DP 0.012320 6.0
DP 0.013440 7.0
DP 0.014560 2.0
DP 0.015680 6.0
DP 0.016800 14.0
DP 0.017920 5.0
DP 0.019040 2.0
DP 0.020160 12.0
DP 0.021280 7.0
DP 0.022400 11.0
DP 0.023520 14.0
DP 0.024640 19.0
DP 0.025760 18.0
DP 0.026880 20.0
DP 0.028000 11.0
DP 0.029120 13.0
DP 0.030240 11.0
DP 0.031360 8.0
DP 0.032480 3.0
DP 0.033600 11.0
DP 0.034720 7.0
DP 0.035840 8.0
DP 0.036960 1.0
DP 0.038080 4.0
DP 0.039200 3.0
DP 0.040320 2.0
DP 0.041440 2.0
DP 0.042560 3.0
DP 0.043680 3.0
DP 0.044800 4.0
DP 0.045920 0.0
DP 0.047040 0.0
DP 0.048160 5.0
DP 0.049280 3.0
DP 0.050400 2.0
DP 0.051520 0.0
DP 0.052640 0.0
DP 0.053760 2.0
DP 0.054880 4.0
DP 0.056000 0.0
DP 0.057120 0.0
DP 0.058240 1.0
DP 0.059360 0.0
DP 0.060480 0.0
DP 0.061600 0.0
DP 0.062720 0.0
DP 0.063840 6.0
EN
