# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 0.06336 s. Light curve stops at 0.95936 s. Time resolution is 0.00384 s. There are 251 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_n0_n3_b0 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 3.0
DP 0.003840 0.0
DP 0.007680 0.0
DP 0.011520 2.0
DP 0.015360 0.0
DP 0.019200 6.0
DP 0.023040 0.0
DP 0.026880 2.0
DP 0.030720 0.0
DP 0.034560 0.0
DP 0.038400 4.0
DP 0.042240 6.0
DP 0.046080 19.0
DP 0.049920 33.0
DP 0.053760 79.0
DP 0.057600 109.0
DP 0.061440 160.0
DP 0.065280 256.0
DP 0.069120 314.0
DP 0.072960 359.0
DP 0.076800 347.0
DP 0.080640 351.0
DP 0.084480 373.0
DP 0.088320 367.0
DP 0.092160 388.0
DP 0.096000 408.0
DP 0.099840 380.0
DP 0.103680 370.0
DP 0.107520 386.0
DP 0.111360 384.0
DP 0.115200 355.0
DP 0.119040 373.0
DP 0.122880 370.0
DP 0.126720 406.0
DP 0.130560 416.0
DP 0.134400 419.0
DP 0.138240 455.0
DP 0.142080 442.0
DP 0.145920 467.0
DP 0.149760 442.0
DP 0.153600 444.0
DP 0.157440 392.0
DP 0.161280 383.0
DP 0.165120 381.0
DP 0.168960 353.0
DP 0.172800 349.0
DP 0.176640 333.0
DP 0.180480 299.0
DP 0.184320 277.0
DP 0.188160 247.0
DP 0.192000 238.0
DP 0.195840 230.0
DP 0.199680 210.0
DP 0.203520 170.0
DP 0.207360 193.0
DP 0.211200 164.0
DP 0.215040 156.0
DP 0.218880 147.0
DP 0.222720 135.0
DP 0.226560 132.0
DP 0.230400 140.0
DP 0.234240 103.0
DP 0.238080 110.0
DP 0.241920 91.0
DP 0.245760 116.0
DP 0.249600 104.0
DP 0.253440 97.0
DP 0.257280 99.0
DP 0.261120 116.0
DP 0.264960 75.0
DP 0.268800 100.0
DP 0.272640 96.0
DP 0.276480 86.0
DP 0.280320 70.0
DP 0.284160 75.0
DP 0.288000 74.0
DP 0.291840 65.0
DP 0.295680 75.0
DP 0.299520 73.0
DP 0.303360 76.0
DP 0.307200 70.0
DP 0.311040 81.0
DP 0.314880 71.0
DP 0.318720 64.0
DP 0.322560 69.0
DP 0.326400 66.0
DP 0.330240 54.0
DP 0.334080 51.0
DP 0.337920 52.0
DP 0.341760 51.0
DP 0.345600 33.0
DP 0.349440 43.0
DP 0.353280 41.0
DP 0.357120 53.0
DP 0.360960 66.0
DP 0.364800 57.0
DP 0.368640 52.0
DP 0.372480 57.0
DP 0.376320 96.0
DP 0.380160 83.0
DP 0.384000 67.0
DP 0.387840 62.0
DP 0.391680 69.0
DP 0.395520 52.0
DP 0.399360 66.0
DP 0.403200 63.0
DP 0.407040 69.0
DP 0.410880 62.0
DP 0.414720 52.0
DP 0.418560 64.0
DP 0.422400 54.0
DP 0.426240 62.0
DP 0.430080 40.0
DP 0.433920 53.0
DP 0.437760 56.0
DP 0.441600 63.0
DP 0.445440 44.0
DP 0.449280 50.0
DP 0.453120 60.0
DP 0.456960 40.0
DP 0.460800 43.0
DP 0.464640 38.0
DP 0.468480 28.0
DP 0.472320 39.0
DP 0.476160 43.0
DP 0.480000 32.0
DP 0.483840 49.0
DP 0.487680 39.0
DP 0.491520 39.0
DP 0.495360 38.0
DP 0.499200 31.0
DP 0.503040 40.0
DP 0.506880 27.0
DP 0.510720 22.0
DP 0.514560 31.0
DP 0.518400 32.0
DP 0.522240 31.0
DP 0.526080 25.0
DP 0.529920 24.0
DP 0.533760 19.0
DP 0.537600 25.0
DP 0.541440 14.0
DP 0.545280 30.0
DP 0.549120 10.0
DP 0.552960 27.0
DP 0.556800 13.0
DP 0.560640 20.0
DP 0.564480 20.0
DP 0.568320 13.0
DP 0.572160 18.0
DP 0.576000 15.0
DP 0.579840 19.0
DP 0.583680 12.0
DP 0.587520 21.0
DP 0.591360 18.0
DP 0.595200 26.0
DP 0.599040 20.0
DP 0.602880 26.0
DP 0.606720 20.0
DP 0.610560 12.0
DP 0.614400 11.0
DP 0.618240 9.0
DP 0.622080 15.0
DP 0.625920 18.0
DP 0.629760 20.0
DP 0.633600 9.0
DP 0.637440 16.0
DP 0.641280 15.0
DP 0.645120 10.0
DP 0.648960 2.0
DP 0.652800 6.0
DP 0.656640 12.0
DP 0.660480 2.0
DP 0.664320 16.0
DP 0.668160 13.0
DP 0.672000 11.0
DP 0.675840 14.0
DP 0.679680 3.0
DP 0.683520 1.0
DP 0.687360 0.0
DP 0.691200 8.0
DP 0.695040 2.0
DP 0.698880 3.0
DP 0.702720 14.0
DP 0.706560 18.0
DP 0.710400 15.0
DP 0.714240 4.0
DP 0.718080 7.0
DP 0.721920 11.0
DP 0.725760 7.0
DP 0.729600 5.0
DP 0.733440 4.0
DP 0.737280 4.0
DP 0.741120 9.0
DP 0.744960 6.0
DP 0.748800 13.0
DP 0.752640 2.0
DP 0.756480 9.0
DP 0.760320 7.0
DP 0.764160 5.0
DP 0.768000 15.0
DP 0.771840 0.0
DP 0.775680 1.0
DP 0.779520 0.0
DP 0.783360 0.0
DP 0.787200 1.0
DP 0.791040 14.0
DP 0.794880 11.0
DP 0.798720 3.0
DP 0.802560 11.0
DP 0.806400 0.0
DP 0.810240 2.0
DP 0.814080 5.0
DP 0.817920 9.0
DP 0.821760 7.0
DP 0.825600 1.0
DP 0.829440 0.0
DP 0.833280 5.0
DP 0.837120 2.0
DP 0.840960 4.0
DP 0.844800 2.0
DP 0.848640 5.0
DP 0.852480 5.0
DP 0.856320 8.0
DP 0.860160 10.0
DP 0.864000 1.0
DP 0.867840 1.0
DP 0.871680 0.0
DP 0.875520 6.0
DP 0.879360 0.0
DP 0.883200 5.0
DP 0.887040 0.0
DP 0.890880 3.0
DP 0.894720 5.0
DP 0.898560 4.0
DP 0.902400 0.0
DP 0.906240 6.0
DP 0.910080 7.0
DP 0.913920 0.0
DP 0.917760 10.0
DP 0.921600 6.0
DP 0.925440 5.0
DP 0.929280 4.0
DP 0.933120 7.0
DP 0.936960 0.0
DP 0.940800 3.0
DP 0.944640 0.0
DP 0.948480 3.0
DP 0.952320 2.0
DP 0.956160 0.0
DP 0.960000 0.0
EN
