# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.03490 s. Light curve stops at 8.20290 s. Time resolution is 0.02688 s. There are 306 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector Sum_b1_na_n2 with energy in [8.0,40000.0] keV.
IP LINLIN
DP 0.000000 16.0
DP 0.026880 6.0
DP 0.053761 0.0
DP 0.080642 2.0
DP 0.107522 0.0
DP 0.134402 0.0
DP 0.161283 0.0
DP 0.188163 0.0
DP 0.215044 0.0
DP 0.241924 0.0
DP 0.268805 12.0
DP 0.295686 11.0
DP 0.322566 0.0
DP 0.349446 0.0
DP 0.376327 0.0
DP 0.403207 3.0
DP 0.430088 1.0
DP 0.456968 0.0
DP 0.483849 0.0
DP 0.510730 0.0
DP 0.537610 6.0
DP 0.564491 21.0
DP 0.591371 0.0
DP 0.618251 5.0
DP 0.645132 2.0
DP 0.672013 0.0
DP 0.698893 15.0
DP 0.725774 13.0
DP 0.752654 6.0
DP 0.779535 7.0
DP 0.806415 8.0
DP 0.833295 7.0
DP 0.860176 30.0
DP 0.887057 20.0
DP 0.913937 45.0
DP 0.940818 34.0
DP 0.967698 28.0
DP 0.994579 33.0
DP 1.021459 68.0
DP 1.048339 50.0
DP 1.075220 69.0
DP 1.102101 88.0
DP 1.128981 120.0
DP 1.155862 123.0
DP 1.182742 152.0
DP 1.209623 139.0
DP 1.236503 156.0
DP 1.263383 142.0
DP 1.290264 194.0
DP 1.317144 160.0
DP 1.344025 164.0
DP 1.370906 186.0
DP 1.397786 242.0
DP 1.424667 259.0
DP 1.451547 297.0
DP 1.478428 308.0
DP 1.505308 352.0
DP 1.532189 344.0
DP 1.559069 421.0
DP 1.585950 405.0
DP 1.612830 371.0
DP 1.639711 418.0
DP 1.666591 410.0
DP 1.693472 410.0
DP 1.720352 358.0
DP 1.747232 371.0
DP 1.774113 326.0
DP 1.800994 315.0
DP 1.827874 308.0
DP 1.854755 346.0
DP 1.881635 297.0
DP 1.908516 342.0
DP 1.935396 324.0
DP 1.962277 336.0
DP 1.989157 389.0
DP 2.016038 407.0
DP 2.042918 390.0
DP 2.069799 434.0
DP 2.096679 408.0
DP 2.123560 397.0
DP 2.150440 438.0
DP 2.177320 438.0
DP 2.204201 446.0
DP 2.231082 457.0
DP 2.257962 435.0
DP 2.284842 417.0
DP 2.311723 403.0
DP 2.338604 455.0
DP 2.365484 423.0
DP 2.392365 405.0
DP 2.419245 419.0
DP 2.446125 473.0
DP 2.473006 454.0
DP 2.499887 439.0
DP 2.526767 455.0
DP 2.553648 416.0
DP 2.580528 427.0
DP 2.607409 429.0
DP 2.634289 357.0
DP 2.661170 338.0
DP 2.688050 349.0
DP 2.714931 362.0
DP 2.741811 369.0
DP 2.768692 336.0
DP 2.795572 356.0
DP 2.822453 347.0
DP 2.849333 366.0
DP 2.876213 378.0
DP 2.903094 336.0
DP 2.929975 354.0
DP 2.956855 332.0
DP 2.983736 302.0
DP 3.010616 337.0
DP 3.037497 336.0
DP 3.064377 298.0
DP 3.091258 340.0
DP 3.118138 335.0
DP 3.145019 262.0
DP 3.171899 334.0
DP 3.198780 273.0
DP 3.225660 260.0
DP 3.252541 301.0
DP 3.279421 236.0
DP 3.306302 262.0
DP 3.333182 231.0
DP 3.360063 223.0
DP 3.386943 237.0
DP 3.413824 206.0
DP 3.440704 191.0
DP 3.467585 180.0
DP 3.494465 206.0
DP 3.521346 178.0
DP 3.548226 168.0
DP 3.575106 147.0
DP 3.601987 152.0
DP 3.628868 134.0
DP 3.655748 147.0
DP 3.682629 120.0
DP 3.709509 128.0
DP 3.736390 113.0
DP 3.763270 131.0
DP 3.790151 103.0
DP 3.817031 97.0
DP 3.843912 93.0
DP 3.870792 118.0
DP 3.897673 87.0
DP 3.924553 88.0
DP 3.951434 86.0
DP 3.978314 76.0
DP 4.005194 64.0
DP 4.032075 75.0
DP 4.058955 72.0
DP 4.085836 57.0
DP 4.112717 79.0
DP 4.139597 50.0
DP 4.166478 55.0
DP 4.193358 68.0
DP 4.220239 59.0
DP 4.247119 70.0
DP 4.274000 61.0
DP 4.300880 58.0
DP 4.327761 55.0
DP 4.354641 53.0
DP 4.381521 17.0
DP 4.408402 61.0
DP 4.435282 60.0
DP 4.462163 28.0
DP 4.489044 37.0
DP 4.515924 71.0
DP 4.542805 20.0
DP 4.569685 51.0
DP 4.596566 33.0
DP 4.623446 41.0
DP 4.650327 32.0
DP 4.677207 32.0
DP 4.704087 30.0
DP 4.730968 42.0
DP 4.757848 30.0
DP 4.784729 35.0
DP 4.811610 30.0
DP 4.838490 22.0
DP 4.865371 21.0
DP 4.892251 33.0
DP 4.919132 25.0
DP 4.946012 15.0
DP 4.972893 46.0
DP 4.999773 24.0
DP 5.026654 19.0
DP 5.053534 25.0
DP 5.080414 17.0
DP 5.107295 20.0
DP 5.134176 5.0
DP 5.161056 9.0
DP 5.187937 19.0
DP 5.214817 42.0
DP 5.241698 40.0
DP 5.268578 41.0
DP 5.295459 12.0
DP 5.322339 32.0
DP 5.349220 13.0
DP 5.376100 27.0
DP 5.402980 19.0
DP 5.429861 29.0
DP 5.456742 24.0
DP 5.483622 27.0
DP 5.510503 28.0
DP 5.537383 20.0
DP 5.564264 28.0
DP 5.591144 31.0
DP 5.618025 33.0
DP 5.644905 38.0
DP 5.671786 11.0
DP 5.698666 34.0
DP 5.725547 16.0
DP 5.752427 34.0
DP 5.779308 11.0
DP 5.806188 33.0
DP 5.833069 18.0
DP 5.859949 16.0
DP 5.886830 21.0
DP 5.913710 28.0
DP 5.940591 25.0
DP 5.967471 22.0
DP 5.994352 18.0
DP 6.021232 17.0
DP 6.048113 3.0
DP 6.074993 26.0
DP 6.101873 7.0
DP 6.128754 12.0
DP 6.155635 16.0
DP 6.182515 1.0
DP 6.209396 18.0
DP 6.236276 8.0
DP 6.263157 18.0
DP 6.290037 0.0
DP 6.316918 8.0
DP 6.343798 5.0
DP 6.370679 0.0
DP 6.397559 10.0
DP 6.424440 0.0
DP 6.451320 22.0
DP 6.478201 28.0
DP 6.505081 10.0
DP 6.531962 11.0
DP 6.558842 13.0
DP 6.585723 14.0
DP 6.612603 13.0
DP 6.639484 14.0
DP 6.666364 16.0
DP 6.693245 0.0
DP 6.720125 0.0
DP 6.747006 11.0
DP 6.773886 7.0
DP 6.800766 10.0
DP 6.827647 4.0
DP 6.854528 28.0
DP 6.881408 10.0
DP 6.908289 16.0
DP 6.935169 3.0
DP 6.962050 4.0
DP 6.988930 2.0
DP 7.015811 0.0
DP 7.042691 13.0
DP 7.069572 24.0
DP 7.096452 21.0
DP 7.123333 24.0
DP 7.150213 0.0
DP 7.177094 4.0
DP 7.203974 12.0
DP 7.230855 19.0
DP 7.257735 0.0
DP 7.284616 3.0
DP 7.311496 12.0
DP 7.338377 0.0
DP 7.365257 11.0
DP 7.392138 0.0
DP 7.419018 0.0
DP 7.445899 6.0
DP 7.472779 16.0
DP 7.499660 9.0
DP 7.526540 9.0
DP 7.553421 6.0
DP 7.580301 0.0
DP 7.607182 0.0
DP 7.634062 0.0
DP 7.660943 0.0
DP 7.687823 2.0
DP 7.714704 21.0
DP 7.741584 10.0
DP 7.768465 0.0
DP 7.795345 4.0
DP 7.822226 0.0
DP 7.849106 10.0
DP 7.875987 9.0
DP 7.902867 18.0
DP 7.929748 3.0
DP 7.956628 0.0
DP 7.983509 0.0
DP 8.010389 0.0
DP 8.037270 23.0
DP 8.064150 21.0
DP 8.091031 4.0
DP 8.117911 14.0
DP 8.144792 0.0
DP 8.171672 10.0
DP 8.198553 0.0
EN
