# Info on the Light curve.
# DP | Time point in [s] | Excess counts.
# We shifted GBM times to start from 0.0. After the shift GBM Trigger time is at 1.03490 s. Light curve stops at 8.20290 s. Time resolution is 0.02688 s. There are 306 points.
# Light curve values are Excess Counts = Observed GBM Counts - Best fit Background Model. Negative excess counts are clipped to 0.
# We selected the events from GBM detector na with energy in [8.0,900.0] keV.
IP LINLIN
DP 0.000000 2.0
DP 0.026880 0.0
DP 0.053761 3.0
DP 0.080642 3.0
DP 0.107522 0.0
DP 0.134402 0.0
DP 0.161283 1.0
DP 0.188163 0.0
DP 0.215044 0.0
DP 0.241924 2.0
DP 0.268805 0.0
DP 0.295686 0.0
DP 0.322566 0.0
DP 0.349446 0.0
DP 0.376327 0.0
DP 0.403207 2.0
DP 0.430088 0.0
DP 0.456968 0.0
DP 0.483849 3.0
DP 0.510730 0.0
DP 0.537610 0.0
DP 0.564491 15.0
DP 0.591371 0.0
DP 0.618251 6.0
DP 0.645132 4.0
DP 0.672013 0.0
DP 0.698893 7.0
DP 0.725774 1.0
DP 0.752654 5.0
DP 0.779535 6.0
DP 0.806415 0.0
DP 0.833295 3.0
DP 0.860176 10.0
DP 0.887057 6.0
DP 0.913937 27.0
DP 0.940818 16.0
DP 0.967698 19.0
DP 0.994579 22.0
DP 1.021459 35.0
DP 1.048339 34.0
DP 1.075220 34.0
DP 1.102101 42.0
DP 1.128981 54.0
DP 1.155862 68.0
DP 1.182742 83.0
DP 1.209623 64.0
DP 1.236503 86.0
DP 1.263383 68.0
DP 1.290264 90.0
DP 1.317144 80.0
DP 1.344025 80.0
DP 1.370906 78.0
DP 1.397786 117.0
DP 1.424667 130.0
DP 1.451547 149.0
DP 1.478428 160.0
DP 1.505308 168.0
DP 1.532189 182.0
DP 1.559069 191.0
DP 1.585950 189.0
DP 1.612830 191.0
DP 1.639711 204.0
DP 1.666591 213.0
DP 1.693472 188.0
DP 1.720352 181.0
DP 1.747232 160.0
DP 1.774113 163.0
DP 1.800994 163.0
DP 1.827874 163.0
DP 1.854755 174.0
DP 1.881635 142.0
DP 1.908516 160.0
DP 1.935396 142.0
DP 1.962277 167.0
DP 1.989157 184.0
DP 2.016038 187.0
DP 2.042918 207.0
DP 2.069799 203.0
DP 2.096679 189.0
DP 2.123560 194.0
DP 2.150440 228.0
DP 2.177320 200.0
DP 2.204201 211.0
DP 2.231082 231.0
DP 2.257962 217.0
DP 2.284842 199.0
DP 2.311723 202.0
DP 2.338604 217.0
DP 2.365484 222.0
DP 2.392365 196.0
DP 2.419245 199.0
DP 2.446125 236.0
DP 2.473006 207.0
DP 2.499887 190.0
DP 2.526767 219.0
DP 2.553648 196.0
DP 2.580528 218.0
DP 2.607409 211.0
DP 2.634289 175.0
DP 2.661170 180.0
DP 2.688050 165.0
DP 2.714931 180.0
DP 2.741811 186.0
DP 2.768692 167.0
DP 2.795572 178.0
DP 2.822453 162.0
DP 2.849333 188.0
DP 2.876213 210.0
DP 2.903094 161.0
DP 2.929975 184.0
DP 2.956855 176.0
DP 2.983736 141.0
DP 3.010616 168.0
DP 3.037497 172.0
DP 3.064377 149.0
DP 3.091258 180.0
DP 3.118138 166.0
DP 3.145019 138.0
DP 3.171899 151.0
DP 3.198780 148.0
DP 3.225660 121.0
DP 3.252541 137.0
DP 3.279421 125.0
DP 3.306302 149.0
DP 3.333182 114.0
DP 3.360063 122.0
DP 3.386943 138.0
DP 3.413824 108.0
DP 3.440704 93.0
DP 3.467585 97.0
DP 3.494465 100.0
DP 3.521346 78.0
DP 3.548226 81.0
DP 3.575106 83.0
DP 3.601987 74.0
DP 3.628868 61.0
DP 3.655748 82.0
DP 3.682629 64.0
DP 3.709509 70.0
DP 3.736390 64.0
DP 3.763270 59.0
DP 3.790151 62.0
DP 3.817031 52.0
DP 3.843912 40.0
DP 3.870792 59.0
DP 3.897673 43.0
DP 3.924553 48.0
DP 3.951434 44.0
DP 3.978314 37.0
DP 4.005194 24.0
DP 4.032075 42.0
DP 4.058955 36.0
DP 4.085836 30.0
DP 4.112717 31.0
DP 4.139597 28.0
DP 4.166478 38.0
DP 4.193358 49.0
DP 4.220239 33.0
DP 4.247119 53.0
DP 4.274000 33.0
DP 4.300880 36.0
DP 4.327761 42.0
DP 4.354641 30.0
DP 4.381521 16.0
DP 4.408402 26.0
DP 4.435282 34.0
DP 4.462163 14.0
DP 4.489044 30.0
DP 4.515924 39.0
DP 4.542805 15.0
DP 4.569685 23.0
DP 4.596566 19.0
DP 4.623446 29.0
DP 4.650327 16.0
DP 4.677207 14.0
DP 4.704087 14.0
DP 4.730968 24.0
DP 4.757848 20.0
DP 4.784729 6.0
DP 4.811610 18.0
DP 4.838490 17.0
DP 4.865371 14.0
DP 4.892251 18.0
DP 4.919132 21.0
DP 4.946012 16.0
DP 4.972893 20.0
DP 4.999773 12.0
DP 5.026654 23.0
DP 5.053534 20.0
DP 5.080414 26.0
DP 5.107295 7.0
DP 5.134176 11.0
DP 5.161056 10.0
DP 5.187937 13.0
DP 5.214817 17.0
DP 5.241698 19.0
DP 5.268578 21.0
DP 5.295459 6.0
DP 5.322339 19.0
DP 5.349220 8.0
DP 5.376100 20.0
DP 5.402980 14.0
DP 5.429861 11.0
DP 5.456742 9.0
DP 5.483622 9.0
DP 5.510503 17.0
DP 5.537383 12.0
DP 5.564264 17.0
DP 5.591144 18.0
DP 5.618025 24.0
DP 5.644905 18.0
DP 5.671786 6.0
DP 5.698666 17.0
DP 5.725547 12.0
DP 5.752427 19.0
DP 5.779308 8.0
DP 5.806188 6.0
DP 5.833069 11.0
DP 5.859949 6.0
DP 5.886830 5.0
DP 5.913710 22.0
DP 5.940591 11.0
DP 5.967471 11.0
DP 5.994352 12.0
DP 6.021232 5.0
DP 6.048113 15.0
DP 6.074993 4.0
DP 6.101873 6.0
DP 6.128754 0.0
DP 6.155635 8.0
DP 6.182515 0.0
DP 6.209396 7.0
DP 6.236276 12.0
DP 6.263157 6.0
DP 6.290037 3.0
DP 6.316918 11.0
DP 6.343798 2.0
DP 6.370679 6.0
DP 6.397559 6.0
DP 6.424440 0.0
DP 6.451320 4.0
DP 6.478201 4.0
DP 6.505081 9.0
DP 6.531962 4.0
DP 6.558842 3.0
DP 6.585723 8.0
DP 6.612603 6.0
DP 6.639484 8.0
DP 6.666364 3.0
DP 6.693245 0.0
DP 6.720125 0.0
DP 6.747006 10.0
DP 6.773886 4.0
DP 6.800766 0.0
DP 6.827647 1.0
DP 6.854528 5.0
DP 6.881408 11.0
DP 6.908289 6.0
DP 6.935169 0.0
DP 6.962050 0.0
DP 6.988930 4.0
DP 7.015811 8.0
DP 7.042691 15.0
DP 7.069572 7.0
DP 7.096452 12.0
DP 7.123333 5.0
DP 7.150213 0.0
DP 7.177094 0.0
DP 7.203974 5.0
DP 7.230855 4.0
DP 7.257735 0.0
DP 7.284616 7.0
DP 7.311496 0.0
DP 7.338377 0.0
DP 7.365257 12.0
DP 7.392138 0.0
DP 7.419018 0.0
DP 7.445899 4.0
DP 7.472779 3.0
DP 7.499660 12.0
DP 7.526540 7.0
DP 7.553421 5.0
DP 7.580301 0.0
DP 7.607182 2.0
DP 7.634062 5.0
DP 7.660943 0.0
DP 7.687823 0.0
DP 7.714704 9.0
DP 7.741584 16.0
DP 7.768465 0.0
DP 7.795345 16.0
DP 7.822226 0.0
DP 7.849106 7.0
DP 7.875987 0.0
DP 7.902867 8.0
DP 7.929748 4.0
DP 7.956628 0.0
DP 7.983509 0.0
DP 8.010389 0.0
DP 8.037270 13.0
DP 8.064150 10.0
DP 8.091031 8.0
DP 8.117911 5.0
DP 8.144792 0.0
DP 8.171672 5.0
DP 8.198553 0.0
EN
