IP LINLIN
DP 0.000000 2.619902e-04
DP 0.248879 3.602262e-04
DP 0.497759 4.912364e-04
DP 0.746638 6.644019e-04
DP 0.995517 8.912434e-04
DP 1.244397 1.185733e-03
DP 1.493276 1.564597e-03
DP 1.742155 2.047591e-03
DP 1.991034 2.657720e-03
DP 2.239914 3.421371e-03
DP 2.488793 4.368337e-03
DP 2.737672 5.531684e-03
DP 2.986552 6.947421e-03
DP 3.235431 8.653961e-03
DP 3.484310 1.069132e-02
DP 3.733190 1.310005e-02
DP 3.982069 1.591987e-02
DP 4.230948 1.918807e-02
DP 4.479828 2.293762e-02
DP 4.728707 2.719507e-02
DP 4.977586 3.197844e-02
DP 5.226466 3.729490e-02
DP 5.475345 4.313867e-02
DP 5.724224 4.948905e-02
DP 5.973103 5.630884e-02
DP 6.221983 6.354321e-02
DP 6.470862 7.111919e-02
DP 6.719741 7.894590e-02
DP 6.968621 8.691555e-02
DP 7.217500 9.490529e-02
DP 7.466379 1.027800e-01
DP 7.715259 1.103956e-01
DP 7.964138 1.176034e-01
DP 8.213017 1.242548e-01
DP 8.461897 1.302062e-01
DP 8.710776 1.353242e-01
DP 8.959655 1.394903e-01
DP 9.208534 1.426060e-01
DP 9.457414 1.445962e-01
DP 9.706293 1.454122e-01
DP 9.955172 1.450340e-01
DP 10.204052 1.434710e-01
DP 10.452931 1.407613e-01
DP 10.701810 1.369707e-01
DP 10.950690 1.321896e-01
DP 11.199569 1.265295e-01
DP 11.448448 1.201189e-01
DP 11.697328 1.130983e-01
DP 11.946207 1.056151e-01
DP 12.195086 9.781852e-02
DP 12.443966 8.985478e-02
DP 12.692845 8.186276e-02
DP 12.941724 7.397018e-02
DP 13.190603 6.629062e-02
DP 13.439483 5.892133e-02
DP 13.688362 5.194194e-02
DP 13.937241 4.541391e-02
DP 14.186121 3.938081e-02
DP 14.435000 3.386925e-02
DP 14.683879 2.889027e-02
DP 14.932759 2.444121e-02
DP 15.181638 2.050779e-02
DP 15.430517 1.706633e-02
DP 15.679397 1.408596e-02
DP 15.928276 1.153076e-02
DP 16.177155 9.361699e-03
DP 16.426034 7.538352e-03
DP 16.674914 6.020370e-03
DP 16.923793 4.768646e-03
DP 17.172672 3.746210e-03
DP 17.421552 2.918866e-03
DP 17.670431 2.255597e-03
DP 17.919310 1.728756e-03
DP 18.168190 1.314108e-03
DP 18.417069 9.907262e-04
DP 18.665948 7.408005e-04
DP 18.914828 5.493814e-04
DP 19.163707 4.040841e-04
DP 19.412586 2.947778e-04
DP 19.661466 2.132764e-04
DP 19.910345 1.530438e-04
DP 20.159224 1.089216e-04
DP 20.408103 7.688425e-05
DP 20.656983 5.382522e-05
DP 20.905862 3.737312e-05
DP 21.154741 2.573700e-05
DP 21.403621 1.757849e-05
DP 21.652500 1.190777e-05
DP 21.901379 8.000266e-06
DP 22.150259 5.330936e-06
DP 22.399138 3.523121e-06
DP 22.648017 2.309281e-06
DP 22.896897 1.501243e-06
DP 23.145776 9.679447e-07
DP 23.394655 6.189778e-07
DP 23.643534 3.925769e-07
DP 23.892414 2.469446e-07
DP 24.141293 1.540633e-07
DP 24.390172 9.532882e-08
DP 24.639052 5.850248e-08
DP 24.887931 3.560815e-08
DP 25.136810 2.149560e-08
DP 25.385690 1.286989e-08
DP 25.634569 7.642323e-09
DP 25.883448 4.500916e-09
DP 26.132328 2.629067e-09
DP 26.381207 1.523096e-09
DP 26.630086 8.751413e-10
DP 26.878966 4.987169e-10
DP 27.127845 2.818741e-10
DP 27.376724 1.580088e-10
DP 27.625603 8.784813e-11
DP 27.874483 4.844053e-11
DP 28.123362 2.649173e-11
DP 28.372241 1.436934e-11
DP 28.621121 7.730161e-12
DP 28.870000 4.124443e-12
EN
